datetime_round,lat,lon,sog_knots,cog_deg,stw_knots,awa_deg,aws_knots,heading_deg,twa_raw,twa,tack
2025-07-26 14:18:33,53.300416866666666,-6.096741933333334,4.266,321.13,5.5,329.6363636363636,11.654545454545454,317.4166666666667,287.05303030303025,72.94696969696975,port
2025-07-26 14:18:34,53.300430133333336,-6.0967654,4.263999999999999,322.25,5.54,331.3636363636364,12.145454545454545,317.0,288.3636363636364,71.63636363636363,port
2025-07-26 14:18:35,53.3004434,-6.0967888666666665,4.262,323.37,5.58,333.09090909090907,12.636363636363635,320.0,293.090909090909,66.90909090909099,port
2025-07-26 14:18:36,53.30045666666667,-6.096812333333333,4.26,324.49,5.62,334.8181818181818,13.127272727272727,321.5,296.31818181818176,63.681818181818244,port
2025-07-26 14:18:37,53.300475416666664,-6.0968375833333335,4.262499999999999,322.1975,5.66,336.54545454545456,13.618181818181817,323.0,299.5454545454545,60.454545454545496,port
2025-07-26 14:18:38,53.30049416666667,-6.096862833333334,4.265,319.90500000000003,5.7,338.27272727272725,14.10909090909091,322.0,300.27272727272725,59.72727272727275,port
2025-07-26 14:18:39,53.30051291666666,-6.096888083333333,4.267499999999999,317.6125,5.74,340.0,14.6,321.3333333333333,301.33333333333326,58.66666666666674,port
2025-07-26 14:18:40,53.300531666666664,-6.096913333333333,4.27,315.32,5.78,339.875,14.775,320.6666666666667,300.54166666666674,59.45833333333326,port
2025-07-26 14:18:41,53.30054633333333,-6.0969359999999995,4.279999999999999,316.81,5.82,339.75,14.95,320.0,299.75,60.25,port
2025-07-26 14:18:42,53.300561,-6.096958666666667,4.29,318.3,5.86,339.625,15.125,320.2857142857143,299.9107142857142,60.08928571428578,port
2025-07-26 14:18:43,53.300575916666666,-6.096979291666667,4.255,317.45,5.9,339.5,15.299999999999999,320.57142857142856,300.07142857142856,59.928571428571445,port
2025-07-26 14:18:44,53.30059083333334,-6.096999916666667,4.220000000000001,316.59999999999997,5.7,339.375,15.475,320.85714285714283,300.2321428571429,59.76785714285711,port
2025-07-26 14:18:45,53.30060575,-6.097020541666667,4.1850000000000005,315.75,5.5,339.25,15.65,321.14285714285717,300.3928571428571,59.60714285714289,port
